person_id,earnings,training,offer,age,baseline_earnings
1,48453.97197793898,1,1,48,26074.26359387165
2,51539.0118103361,1,1,35,30950.4589523724
3,30344.1868841357,0,1,22,22281.658115837174
4,27477.89331745323,1,0,37,12857.815040462658
5,25867.03512590244,0,1,47,19741.56679941395
6,66754.86878764794,1,1,36,36460.80322250824
7,38833.18671528059,0,1,40,29515.231014771623
8,25846.734208930207,0,1,29,26911.969109254376
9,33624.28454856691,0,1,30,16239.933526289482
10,31221.743187255543,0,0,42,19702.095364531102
11,44097.33291061057,0,0,44,25048.053738120976
12,61131.92708863937,1,0,49,36329.006687821726
13,35229.10567253842,0,0,54,25514.008192518286
14,57835.48407168391,1,1,54,32952.18445232963
15,42560.54990863467,0,1,43,24349.296150882583
16,50313.85881153664,0,0,37,34631.55815489673
17,53932.89211894413,0,0,34,38482.199369542504
18,48295.876929606755,0,1,40,21641.394596072096
19,38169.42336421698,1,1,53,24581.190812760367
20,54464.52053481765,0,1,23,28259.70338272286
21,36773.60148411141,0,1,47,23478.828653437926
22,57607.257682567164,1,1,50,40344.71131113296
23,58501.60201322572,0,0,27,32168.95657196119
24,48417.03248468703,1,1,43,26208.1259802544
25,44661.88331739166,0,0,49,23525.337171692023
26,41498.776891469446,1,0,25,36412.188548068305
27,42860.418152396116,0,1,28,29543.08677784404
28,59230.77405778486,1,0,36,27722.926204557178
29,40704.70540949292,0,0,39,26089.36129808291
30,40501.241519185416,0,1,45,28020.47384757322
31,47549.865004888714,1,1,38,26015.913862549547
32,45322.14806776279,1,1,22,34068.263198250905
33,61108.78130465127,0,0,46,33352.706174722814
34,28889.031297693917,0,0,51,20740.025919592557
35,56329.03573816896,1,1,34,35791.19069746085
36,55931.16849019273,1,1,30,38846.43474341833
37,41105.18960368895,0,1,36,34054.27901087592
38,41547.31444373378,1,1,22,29328.44748914696
39,28189.436269301794,0,0,30,17736.00251522461
40,51405.62799712932,0,1,39,28638.40453059219
41,43636.994775811734,1,1,44,26150.34469769494
42,42741.10878771557,0,0,31,24269.601297573852
43,60414.5561153672,1,0,47,32199.648876326173
44,55599.01478212639,1,1,37,29942.24956370294
45,56176.72232287619,1,0,31,29755.289072513002
46,45881.40827533516,1,1,51,27103.52664923709
47,25615.478989634026,0,1,47,23340.696436073322
48,54946.00181469795,1,1,52,27291.238989939924
49,39854.60358324567,0,1,41,27595.816954948627
50,45898.80442790039,1,0,39,27217.48326807954
51,60817.61884977172,1,1,35,31721.225167157427
52,33477.46413561961,0,0,48,27202.33661199619
53,64853.8410829104,1,0,37,37991.2455972356
54,48243.2678562588,1,0,50,32760.64139806613
55,26981.561669047915,0,0,41,20503.843624241897
56,31924.77290089683,0,0,32,31040.70457202301
57,45967.724622163354,0,1,37,21650.8843839616
58,59789.51180645966,1,1,52,38945.383663556706
59,43748.837657586315,1,1,49,20385.55105528027
60,33430.23325957491,0,0,25,25559.88250416733
61,42448.78712468198,0,0,42,34990.437986206896
62,46034.704919397125,1,1,23,25908.58217344303
63,56787.17317996593,1,1,32,31462.176082494167
64,52335.89040841285,1,0,48,33090.79151058375
65,36077.908336582914,0,1,55,19545.37245964489
66,44687.89385368162,0,1,49,27984.97344918058
67,45130.01274971302,0,1,33,28012.432933767766
68,54855.47727055916,1,1,47,30761.032449145932
69,47061.857477476435,1,1,28,32684.058018836542
70,50138.752734144204,1,0,51,31081.69973628983
71,44800.81975391663,0,1,48,23839.84163264244
72,38702.56300195682,1,1,25,32656.90251921702
73,45430.77669893544,1,1,35,34374.988005751584
74,45409.10528705632,1,1,37,34162.43700467155
75,40383.5246252269,0,0,51,26942.95995118432
76,49017.858864333735,0,1,45,37373.73071092286
77,47691.28592665825,1,1,40,29815.643924566873
78,51851.897168811425,0,1,26,31514.180714726943
79,44855.3726648085,1,0,40,32581.953926050017
80,38866.52207875038,0,1,34,30664.638237693107
81,40063.09715433661,0,0,50,26939.646363873282
82,41454.87100629027,0,1,49,18027.146116305154
83,47500.90218846827,1,1,49,33175.43906350545
84,45577.10996172438,1,1,23,31362.968682458566
85,35614.533223029284,0,0,50,29961.956869290552
86,44355.65288632494,1,1,24,33301.814586048655
87,46369.37389333399,0,0,42,27932.411416636158
88,38359.11137981639,0,0,51,29377.088396644373
89,48853.43001793758,0,0,24,29485.98865932268
90,34807.492907204454,1,1,30,16166.233633605963
91,51008.749357985995,0,1,47,21505.92854045423
92,40732.248926625885,0,0,29,26399.29159074255
93,61090.07371227698,1,0,36,35033.86306646068
94,46539.620863645585,1,0,30,38876.20418273448
95,45275.93472825259,0,1,27,32276.433960334343
