unit,year,treated_group,post,treated_post,event_time,outcome
1,2016,0,0,0,-999,22.13115160669158
1,2017,0,0,0,-999,23.98835015492751
1,2018,0,0,0,-999,24.35308165581523
1,2019,0,0,0,-999,26.036076825290202
1,2020,0,1,0,-999,24.416786945277206
1,2021,0,1,0,-999,26.821813989577418
1,2022,0,1,0,-999,25.827715449858424
1,2023,0,1,0,-999,27.6855388688605
2,2016,0,0,0,-999,19.679479070208142
2,2017,0,0,0,-999,19.445764395928393
2,2018,0,0,0,-999,22.162072760046968
2,2019,0,0,0,-999,21.990929150608196
2,2020,0,1,0,-999,22.18593473378807
2,2021,0,1,0,-999,22.245587194024075
2,2022,0,1,0,-999,21.597978999418466
2,2023,0,1,0,-999,24.13085855804977
3,2016,0,0,0,-999,16.80692408744916
3,2017,0,0,0,-999,19.891849666769694
3,2018,0,0,0,-999,19.10466244203151
3,2019,0,0,0,-999,19.94634167279905
3,2020,0,1,0,-999,22.054208641044557
3,2021,0,1,0,-999,21.559556855203294
3,2022,0,1,0,-999,23.034135524209205
3,2023,0,1,0,-999,21.84160723531187
4,2016,0,0,0,-999,21.414585071891434
4,2017,0,0,0,-999,22.790978531517553
4,2018,0,0,0,-999,20.89464776219881
4,2019,0,0,0,-999,21.164509154158765
4,2020,0,1,0,-999,21.336856430821076
4,2021,0,1,0,-999,21.829643032224183
4,2022,0,1,0,-999,22.42554640997861
4,2023,0,1,0,-999,23.14195014744323
5,2016,0,0,0,-999,23.210245668927193
5,2017,0,0,0,-999,19.718522093789996
5,2018,0,0,0,-999,19.377188405213744
5,2019,0,0,0,-999,21.38774778236431
5,2020,0,1,0,-999,24.030758430469895
5,2021,0,1,0,-999,21.110688793282463
5,2022,0,1,0,-999,24.835657087178664
5,2023,0,1,0,-999,23.397050297982894
6,2016,0,0,0,-999,21.722830917963563
6,2017,0,0,0,-999,23.39264840675886
6,2018,0,0,0,-999,24.068168433099533
6,2019,0,0,0,-999,23.76391000858545
6,2020,0,1,0,-999,25.89939699269811
6,2021,0,1,0,-999,26.96091975007279
6,2022,0,1,0,-999,24.879957790180185
6,2023,0,1,0,-999,26.898992673146243
7,2016,0,0,0,-999,19.344414997050524
7,2017,0,0,0,-999,18.31594011850549
7,2018,0,0,0,-999,19.878251234743715
7,2019,0,0,0,-999,20.572379152228972
7,2020,0,1,0,-999,20.066249072628974
7,2021,0,1,0,-999,18.376285553694984
7,2022,0,1,0,-999,20.54469910957413
7,2023,0,1,0,-999,22.379302182762725
8,2016,0,0,0,-999,19.067249906885998
8,2017,0,0,0,-999,17.311533409745053
8,2018,0,0,0,-999,19.404829323903396
8,2019,0,0,0,-999,20.96187198045399
8,2020,0,1,0,-999,21.770370131037073
8,2021,0,1,0,-999,21.02453926568406
8,2022,0,1,0,-999,22.07311887156161
8,2023,0,1,0,-999,22.08484542771606
9,2016,0,0,0,-999,17.795920947233295
9,2017,0,0,0,-999,18.29555097186735
9,2018,0,0,0,-999,19.526150410517168
9,2019,0,0,0,-999,19.780812459689525
9,2020,0,1,0,-999,21.34556867484813
9,2021,0,1,0,-999,19.510004105870117
9,2022,0,1,0,-999,18.019118207160695
9,2023,0,1,0,-999,19.53632051410372
10,2016,0,0,0,-999,18.834674207193537
10,2017,0,0,0,-999,20.8771250919806
10,2018,0,0,0,-999,18.245330169191597
10,2019,0,0,0,-999,21.437597169888164
10,2020,0,1,0,-999,22.256784091751264
10,2021,0,1,0,-999,21.084909526760917
10,2022,0,1,0,-999,22.604830038106964
10,2023,0,1,0,-999,26.541192780554432
11,2016,0,0,0,-999,21.84126329033574
11,2017,0,0,0,-999,23.34626660661116
11,2018,0,0,0,-999,24.355455242430875
11,2019,0,0,0,-999,23.564660251222687
11,2020,0,1,0,-999,23.19011108190864
11,2021,0,1,0,-999,24.296751611622852
11,2022,0,1,0,-999,24.524375947024225
11,2023,0,1,0,-999,25.219977039397296
12,2016,0,0,0,-999,19.560389834498114
12,2017,0,0,0,-999,20.414132651317413
12,2018,0,0,0,-999,20.735249212543966
12,2019,0,0,0,-999,22.12873064832174
12,2020,0,1,0,-999,21.650655186126887
12,2021,0,1,0,-999,22.885474335444552
12,2022,0,1,0,-999,22.383120170223965
12,2023,0,1,0,-999,23.14225347937463
13,2016,0,0,0,-999,15.727424348270834
13,2017,0,0,0,-999,18.3662700832087
13,2018,0,0,0,-999,20.09226342855942
13,2019,0,0,0,-999,18.553219456330876
13,2020,0,1,0,-999,18.860950881602097
13,2021,0,1,0,-999,18.46848264216342
13,2022,0,1,0,-999,20.017582269936135
13,2023,0,1,0,-999,21.407679692026388
14,2016,0,0,0,-999,19.916989023479687
14,2017,0,0,0,-999,20.66259830669689
14,2018,0,0,0,-999,20.45382999308985
14,2019,0,0,0,-999,18.62148249684256
14,2020,0,1,0,-999,22.58429793233267
14,2021,0,1,0,-999,23.885877342541455
14,2022,0,1,0,-999,21.892911007730163
14,2023,0,1,0,-999,20.80056744571025
15,2016,0,0,0,-999,22.088939205033657
15,2017,0,0,0,-999,23.059258172013738
15,2018,0,0,0,-999,22.787442326409927
15,2019,0,0,0,-999,24.486509511935374
15,2020,0,1,0,-999,24.752552274004483
15,2021,0,1,0,-999,23.728129737811255
15,2022,0,1,0,-999,23.704689859176113
15,2023,0,1,0,-999,25.927005893756345
16,2016,0,0,0,-999,22.62702230922119
16,2017,0,0,0,-999,20.192335417314304
16,2018,0,0,0,-999,23.071975341512772
16,2019,0,0,0,-999,23.320358008823614
16,2020,0,1,0,-999,22.05821107804303
16,2021,0,1,0,-999,22.418756900630136
16,2022,0,1,0,-999,22.308340346851637
16,2023,0,1,0,-999,22.016793393856272
17,2016,0,0,0,-999,19.165667810735272
17,2017,0,0,0,-999,21.015168247176156
17,2018,0,0,0,-999,20.185278249282078
17,2019,0,0,0,-999,21.848573289176688
17,2020,0,1,0,-999,22.615938148686663
17,2021,0,1,0,-999,22.16836661639757
17,2022,0,1,0,-999,22.225008166471262
17,2023,0,1,0,-999,23.102968717768103
18,2016,0,0,0,-999,19.673837054434532
18,2017,0,0,0,-999,21.38541160335033
18,2018,0,0,0,-999,23.398114604935536
18,2019,0,0,0,-999,21.978386632437577
18,2020,0,1,0,-999,22.435505622115386
18,2021,0,1,0,-999,21.162995418703794
18,2022,0,1,0,-999,22.341780414186406
18,2023,0,1,0,-999,23.650427806325325
19,2016,0,0,0,-999,19.977481229468832
19,2017,0,0,0,-999,19.704545796595156
19,2018,0,0,0,-999,21.64976930114946
19,2019,0,0,0,-999,21.1852445586755
19,2020,0,1,0,-999,22.12916667267011
19,2021,0,1,0,-999,23.01567410721243
19,2022,0,1,0,-999,21.054072946932642
19,2023,0,1,0,-999,24.668763465034186
20,2016,0,0,0,-999,14.170378367997618
20,2017,0,0,0,-999,13.961986217749303
20,2018,0,0,0,-999,13.880984368615474
20,2019,0,0,0,-999,17.13825923776674
20,2020,0,1,0,-999,16.845883055811356
20,2021,0,1,0,-999,18.362225052663906
20,2022,0,1,0,-999,18.574243635859133
20,2023,0,1,0,-999,17.445202184385636
21,2016,0,0,0,-999,20.49214863513182
21,2017,0,0,0,-999,20.60969945141536
21,2018,0,0,0,-999,21.31301898098838
21,2019,0,0,0,-999,22.88360839700832
21,2020,0,1,0,-999,21.75787724575043
21,2021,0,1,0,-999,22.944788592281167
21,2022,0,1,0,-999,22.64928916763327
21,2023,0,1,0,-999,24.1266955261673
22,2016,0,0,0,-999,19.046918872154674
22,2017,0,0,0,-999,22.370995067522394
22,2018,0,0,0,-999,21.280445098001483
22,2019,0,0,0,-999,23.151729832183225
22,2020,0,1,0,-999,23.0499425209717
22,2021,0,1,0,-999,22.320159230187535
22,2022,0,1,0,-999,23.140165197031582
22,2023,0,1,0,-999,22.3900559881379
23,2016,0,0,0,-999,17.912995750275645
23,2017,0,0,0,-999,17.821345637461093
23,2018,0,0,0,-999,20.091480986950334
23,2019,0,0,0,-999,20.967524077761375
23,2020,0,1,0,-999,18.343713525700437
23,2021,0,1,0,-999,22.555969957017687
23,2022,0,1,0,-999,19.83659542784528
23,2023,0,1,0,-999,22.948904389468233
24,2016,0,0,0,-999,18.45994709376907
24,2017,0,0,0,-999,19.301531805000543
24,2018,0,0,0,-999,18.190861468578643
24,2019,0,0,0,-999,19.82313605617064
24,2020,0,1,0,-999,18.86411109803903
24,2021,0,1,0,-999,21.71959084193627
24,2022,0,1,0,-999,20.702798362694868
24,2023,0,1,0,-999,20.24387858439819
25,2016,0,0,0,-999,19.432501892705393
25,2017,0,0,0,-999,18.645013577975334
25,2018,0,0,0,-999,21.705242132027728
25,2019,0,0,0,-999,21.785027991120213
25,2020,0,1,0,-999,21.434937741364667
25,2021,0,1,0,-999,22.168891941260885
25,2022,0,1,0,-999,21.937909635101256
25,2023,0,1,0,-999,23.210644087420814
26,2016,0,0,0,-999,19.044881785692198
26,2017,0,0,0,-999,20.399605771917887
26,2018,0,0,0,-999,22.00940593810787
26,2019,0,0,0,-999,22.122699918755536
26,2020,0,1,0,-999,23.463154365429386
26,2021,0,1,0,-999,21.533926749118308
26,2022,0,1,0,-999,23.819119645972048
26,2023,0,1,0,-999,21.765954181963306
27,2016,0,0,0,-999,20.48978446447841
27,2017,0,0,0,-999,18.53743496875019
27,2018,0,0,0,-999,18.29541232402727
27,2019,0,0,0,-999,21.972878903471972
27,2020,0,1,0,-999,21.194279797258357
27,2021,0,1,0,-999,23.968799892605986
27,2022,0,1,0,-999,23.468048667740888
27,2023,0,1,0,-999,20.386400013374207
28,2016,0,0,0,-999,23.477038184424543
28,2017,0,0,0,-999,22.89506055604137
28,2018,0,0,0,-999,23.726325073638378
28,2019,0,0,0,-999,24.472741944915857
28,2020,0,1,0,-999,24.47851163345586
28,2021,0,1,0,-999,24.93014002742256
28,2022,0,1,0,-999,26.441065577457778
28,2023,0,1,0,-999,27.521074137518266
29,2016,0,0,0,-999,16.656786565947325
29,2017,0,0,0,-999,17.715953088920816
29,2018,0,0,0,-999,21.719889638039486
29,2019,0,0,0,-999,22.832763218415465
29,2020,0,1,0,-999,22.82645712576271
29,2021,0,1,0,-999,22.970069596577783
29,2022,0,1,0,-999,19.458652767270912
29,2023,0,1,0,-999,21.474030642326884
30,2016,0,0,0,-999,21.80612584167238
30,2017,0,0,0,-999,21.546303100616782
30,2018,0,0,0,-999,21.191163889233984
30,2019,0,0,0,-999,21.224014786306785
30,2020,0,1,0,-999,23.050193204767307
30,2021,0,1,0,-999,21.989649379053333
30,2022,0,1,0,-999,23.665137034277333
30,2023,0,1,0,-999,23.747769862293808
31,2016,0,0,0,-999,17.13167799509187
31,2017,0,0,0,-999,14.478058033945484
31,2018,0,0,0,-999,16.736657021623063
31,2019,0,0,0,-999,17.93669725583251
31,2020,0,1,0,-999,18.104759503613447
31,2021,0,1,0,-999,19.33318555365325
31,2022,0,1,0,-999,21.298311747620918
31,2023,0,1,0,-999,20.440161107131818
32,2016,0,0,0,-999,19.499825660385433
32,2017,0,0,0,-999,18.695415890162494
32,2018,0,0,0,-999,20.32155988934376
32,2019,0,0,0,-999,19.2326245622579
32,2020,0,1,0,-999,21.262328777950813
32,2021,0,1,0,-999,21.36055808172538
32,2022,0,1,0,-999,20.53435695420592
32,2023,0,1,0,-999,22.267877100060396
33,2016,0,0,0,-999,21.5598260959818
33,2017,0,0,0,-999,22.629706921502546
33,2018,0,0,0,-999,23.284081850094648
33,2019,0,0,0,-999,22.426676352037347
33,2020,0,1,0,-999,26.1225040187205
33,2021,0,1,0,-999,24.73679264206924
33,2022,0,1,0,-999,25.604785522458382
33,2023,0,1,0,-999,24.493876148296025
34,2016,0,0,0,-999,15.19277484622084
34,2017,0,0,0,-999,16.882964902036107
34,2018,0,0,0,-999,14.71018266246289
34,2019,0,0,0,-999,19.276871343375788
34,2020,0,1,0,-999,19.46975594493686
34,2021,0,1,0,-999,18.784810817170424
34,2022,0,1,0,-999,19.697632421103958
34,2023,0,1,0,-999,18.59259593146491
35,2016,0,0,0,-999,21.12569201825206
35,2017,0,0,0,-999,23.412789426102854
35,2018,0,0,0,-999,25.508529772677175
35,2019,0,0,0,-999,23.59538957793393
35,2020,0,1,0,-999,25.50975156265992
35,2021,0,1,0,-999,26.184534730333123
35,2022,0,1,0,-999,25.73163550383221
35,2023,0,1,0,-999,24.92165922599391
36,2016,0,0,0,-999,17.460338470826095
36,2017,0,0,0,-999,19.575679063038564
36,2018,0,0,0,-999,18.950792369154755
36,2019,0,0,0,-999,19.297019489299338
36,2020,0,1,0,-999,21.31856890248837
36,2021,0,1,0,-999,21.23118491628753
36,2022,0,1,0,-999,22.577769256473776
36,2023,0,1,0,-999,24.406090009975504
37,2016,0,0,0,-999,20.76001104672202
37,2017,0,0,0,-999,21.872397578746668
37,2018,0,0,0,-999,24.076872857051896
37,2019,0,0,0,-999,24.392164865440044
37,2020,0,1,0,-999,24.94749956199743
37,2021,0,1,0,-999,23.233604457402148
37,2022,0,1,0,-999,24.071687547675594
37,2023,0,1,0,-999,26.27065457120197
38,2016,0,0,0,-999,18.06894510996382
38,2017,0,0,0,-999,17.897969232737715
38,2018,0,0,0,-999,21.23153948856718
38,2019,0,0,0,-999,21.785110459394115
38,2020,0,1,0,-999,21.81086942243253
38,2021,0,1,0,-999,20.177443586647698
38,2022,0,1,0,-999,22.32332311982093
38,2023,0,1,0,-999,23.866270327862583
39,2016,0,0,0,-999,22.800513863820655
39,2017,0,0,0,-999,25.245311051797422
39,2018,0,0,0,-999,23.583709146697817
39,2019,0,0,0,-999,23.86882316048011
39,2020,0,1,0,-999,24.63823493120008
39,2021,0,1,0,-999,25.565824979715334
39,2022,0,1,0,-999,23.51148667604616
39,2023,0,1,0,-999,27.633547133695686
40,2016,0,0,0,-999,18.638891646193507
40,2017,0,0,0,-999,18.05904165777998
40,2018,0,0,0,-999,20.996889000809485
40,2019,0,0,0,-999,23.22533747808929
40,2020,0,1,0,-999,20.507227326731588
40,2021,0,1,0,-999,21.65162410578186
40,2022,0,1,0,-999,26.713340732182587
40,2023,0,1,0,-999,23.13917301609986
41,2016,0,0,0,-999,24.564954701140927
41,2017,0,0,0,-999,22.015804283873393
41,2018,0,0,0,-999,25.260799302838723
41,2019,0,0,0,-999,25.448138104132
41,2020,0,1,0,-999,25.200716692962587
41,2021,0,1,0,-999,27.524824851595646
41,2022,0,1,0,-999,26.595058195004825
41,2023,0,1,0,-999,27.033576208147785
42,2016,0,0,0,-999,18.358909620872502
42,2017,0,0,0,-999,17.05815667976145
42,2018,0,0,0,-999,19.390034347757844
42,2019,0,0,0,-999,20.040535344081
42,2020,0,1,0,-999,19.632497600669748
42,2021,0,1,0,-999,22.916170924649112
42,2022,0,1,0,-999,21.66721843974377
42,2023,0,1,0,-999,23.431290086890513
43,2016,0,0,0,-999,18.841074509573787
43,2017,0,0,0,-999,18.848035113062828
43,2018,0,0,0,-999,20.25442317241833
43,2019,0,0,0,-999,18.91645402861341
43,2020,0,1,0,-999,20.791738015622727
43,2021,0,1,0,-999,18.275837290421578
43,2022,0,1,0,-999,23.61595649950934
43,2023,0,1,0,-999,23.89621808166668
44,2016,0,0,0,-999,15.903471601300879
44,2017,0,0,0,-999,18.353809872877225
44,2018,0,0,0,-999,19.737141368869654
44,2019,0,0,0,-999,19.67547143844682
44,2020,0,1,0,-999,20.74170172186909
44,2021,0,1,0,-999,20.965014823917404
44,2022,0,1,0,-999,22.16544235417131
44,2023,0,1,0,-999,22.71568859250724
45,2016,0,0,0,-999,20.810487710509257
45,2017,0,0,0,-999,21.587161135037217
45,2018,0,0,0,-999,22.003201574408905
45,2019,0,0,0,-999,22.640267751277868
45,2020,0,1,0,-999,23.184382607078962
45,2021,0,1,0,-999,25.62838197023037
45,2022,0,1,0,-999,23.1231983862845
45,2023,0,1,0,-999,25.912819375767263
46,2016,0,0,0,-999,22.342184750576294
46,2017,0,0,0,-999,21.667766755355856
46,2018,0,0,0,-999,23.153197053246068
46,2019,0,0,0,-999,24.652011338124414
46,2020,0,1,0,-999,21.97846829591635
46,2021,0,1,0,-999,23.29263906495883
46,2022,0,1,0,-999,23.24933887435515
46,2023,0,1,0,-999,25.312901795549365
47,2016,0,0,0,-999,20.543962542072155
47,2017,0,0,0,-999,23.29734962087835
47,2018,0,0,0,-999,24.678972880554348
47,2019,0,0,0,-999,23.800064492072956
47,2020,0,1,0,-999,23.973148307682756
47,2021,0,1,0,-999,26.927610095928877
47,2022,0,1,0,-999,26.274349703566557
47,2023,0,1,0,-999,28.876854125836992
48,2016,0,0,0,-999,18.61161925702363
48,2017,0,0,0,-999,18.376870882005697
48,2018,0,0,0,-999,21.367908947315293
48,2019,0,0,0,-999,20.244236743662977
48,2020,0,1,0,-999,21.905120205365495
48,2021,0,1,0,-999,23.0748099544093
48,2022,0,1,0,-999,20.870324082008047
48,2023,0,1,0,-999,22.63375823970388
49,2016,0,0,0,-999,17.953839540343523
49,2017,0,0,0,-999,18.18825182549886
49,2018,0,0,0,-999,22.15755453382021
49,2019,0,0,0,-999,19.363264785032854
49,2020,0,1,0,-999,20.365548433108245
49,2021,0,1,0,-999,21.11841022010492
49,2022,0,1,0,-999,23.809628035284593
49,2023,0,1,0,-999,21.488846241450286
50,2016,0,0,0,-999,23.69924163892256
50,2017,0,0,0,-999,24.00851384213574
50,2018,0,0,0,-999,23.088206239709862
50,2019,0,0,0,-999,23.331977984408546
50,2020,0,1,0,-999,25.099863385257112
50,2021,0,1,0,-999,27.297651864493492
50,2022,0,1,0,-999,25.259668676185974
50,2023,0,1,0,-999,26.468856040711515
51,2016,0,0,0,-999,19.67110634859563
51,2017,0,0,0,-999,20.29010470961515
51,2018,0,0,0,-999,18.066332588840535
51,2019,0,0,0,-999,19.559026763764344
51,2020,0,1,0,-999,20.34998866516462
51,2021,0,1,0,-999,21.27371346926087
51,2022,0,1,0,-999,21.036805650436598
51,2023,0,1,0,-999,23.66238105311828
52,2016,0,0,0,-999,17.75521442076324
52,2017,0,0,0,-999,17.798405170240084
52,2018,0,0,0,-999,18.957249064295585
52,2019,0,0,0,-999,18.142645239433826
52,2020,0,1,0,-999,17.543342970660916
52,2021,0,1,0,-999,20.309268195366688
52,2022,0,1,0,-999,19.640221281835423
52,2023,0,1,0,-999,21.714848421888902
53,2016,0,0,0,-999,17.81089661536665
53,2017,0,0,0,-999,19.145362695650903
53,2018,0,0,0,-999,19.767520320401
53,2019,0,0,0,-999,22.24120405763683
53,2020,0,1,0,-999,20.50969697102094
53,2021,0,1,0,-999,21.41103745848378
53,2022,0,1,0,-999,21.685668443991243
53,2023,0,1,0,-999,24.377551123585413
54,2016,0,0,0,-999,18.637671133436555
54,2017,0,0,0,-999,19.458261835654852
54,2018,0,0,0,-999,19.59560534262233
54,2019,0,0,0,-999,19.00472117887305
54,2020,0,1,0,-999,21.624047381169227
54,2021,0,1,0,-999,21.848583489328167
54,2022,0,1,0,-999,20.840204642483762
54,2023,0,1,0,-999,22.253054279706866
55,2016,0,0,0,-999,19.097406536872178
55,2017,0,0,0,-999,24.343201446486617
55,2018,0,0,0,-999,22.041015879937763
55,2019,0,0,0,-999,24.063362017229963
55,2020,0,1,0,-999,22.33347153959944
55,2021,0,1,0,-999,25.116941709705443
55,2022,0,1,0,-999,25.528987442206606
55,2023,0,1,0,-999,26.050433057552645
56,2016,0,0,0,-999,22.255754906021913
56,2017,0,0,0,-999,22.51560638327245
56,2018,0,0,0,-999,21.38731574843647
56,2019,0,0,0,-999,23.263852775274525
56,2020,0,1,0,-999,22.92555278991049
56,2021,0,1,0,-999,26.12752348366672
56,2022,0,1,0,-999,22.96110390113387
56,2023,0,1,0,-999,24.12201857646206
57,2016,0,0,0,-999,18.685505151583843
